Facility name,City,Adequately immunized %,Exempt %,Conditionally enrolled %,Extended conditionally enrolled %,Out of compliance %
Pony Express School,Eagle Mountain,90.0,7.9,0.0,0.0,1.4
,,,,,,
Ellison Park School,Layton,90.5,6.3,1.6,1.6,0.0
Snow Horse School,Kaysville,93.3,6.7,0.0,0.0,0.0
Guadalupe School,Salt Lake City,97.8,0.0,0.0,0.0,2.2
Settlement Canyon School,Tooele,95.0,0.0,0.0,5.0,0.0
Heritage School,Layton,90.3,9.7,0.0,0.0,0.0
Open Classroom,Salt Lake City,74.4,15.4,10.3,0.0,0.0
Escalante School,Salt Lake City,97.6,2.4,0.0,0.0,0.0
Midas Creek School,Riverton,93.3,6.7,0.0,0.0,0.0
Bruin Point School,Sunnyside,58.8,23.5,17.6,0.0,0.0
Freedom School,Highland,86.5,13.5,0.0,0.0,0.0
,,,,,,
Mountain Green School,Mountain Green,78.9,21.1,0.0,0.0,0.0
Falcon Ridge School,West Jordan,90.9,5.2,0.0,3.9,0.0
Mountainside School,Mendon,87.9,12.1,0.0,0.0,0.0
Saratoga Shores School,Saratoga Springs,87.3,9.9,0.0,2.8,0.0
Sand Springs School,Layton,93.9,4.9,0.0,0.0,1.2
Sage Hills School,Saratoga Springs,88.2,11.8,0.0,0.0,0.0
Foxboro School,North Salt Lake,86.3,5.9,0.0,5.9,2.0
American Preparatory Academy The School For New Americans,West Valley City,92.5,1.1,0.0,6.5,0.0
Lakeview School,Provo,90.7,7.5,1.9,0.0,0.0
Silver Hills School,Kearns,82.0,1.6,16.4,0.0,0.0
,,,,,,
Lincoln Academy,Pleasant Grove,75.7,24.3,0.0,0.0,0.0
Canyon School,Hyrum,89.8,7.4,2.8,0.0,0.0
Rose Springs School,Stansbury Park,90.0,10.0,0.0,0.0,0.0
Maria Montessori Academy,Ogden,78.8,15.4,0.0,3.8,0.0
Cherry Creek School,Springville,85.2,13.1,0.0,1.6,0.0
Bear River Charter School,Logan,97.0,3.0,0.0,0.0,0.0
East Meadows School,Spanish Fork,86.6,9.0,3.0,1.5,0.0
Foothills School,Salem,90.2,9.8,0.0,0.0,0.0
Weilenmann School Of Discovery,Park City,94.6,5.4,0.0,0.0,0.0
Orchard Hills School,Santaquin,89.2,10.8,0.0,0.0,0.0
,,,,,,
Sierra Bonita Elementary,Spanish Fork,86.5,13.5,0.0,0.0,0.0
Noah Webster Academy,Orem,91.9,5.4,0.0,1.4,0.0
Mountainville Academy,Alpine,77.9,21.1,0.0,0.0,0.0
Traverse Mountain School,Lehi,86.7,12.2,0.0,1.0,0.0
Channing Hall,Draper,66.2,12.7,21.1,0.0,0.0
Saint Marguerite Catholic School,Tooele,100.0,0.0,0.0,0.0,0.0
Providence Hall,Herriman,79.1,10.8,10.1,0.0,0.0
Quest Academy,West Haven,90.4,9.6,0.0,0.0,0.0
Eagle View School,Fort Duchesne,85.0,10.0,0.0,0.0,5.0
Vista School,Ivins,79.3,20.7,0.0,0.0,0.0
,,,,,,
North Point School,Lehi,85.8,11.7,0.0,1.9,0.6
Silver Crest School,Herriman,90.4,5.3,0.0,4.4,0.0
Shadow Valley School,Ogden,87.5,5.0,0.0,5.0,2.5
Kauri Sue Hamilton,Riverton,94.1,0.0,5.9,0.0,0.0
Elk Run Elementary,Magna,94.8,3.1,0.0,2.1,0.0
Endeavor Hall,West Valley City,82.9,0.0,2.9,5.7,8.6
Fox Hollow School,West Jordan,90.1,7.7,0.0,2.2,0.0
Good Foundations Academy,Riverdale,82.5,14.3,0.0,3.2,0.0
Riverview School,Saratoga Springs,84.7,9.0,0.0,0.9,5.4
Thunder Ridge School,Saratoga Springs,83.2,14.4,2.4,0.0,0.0
,,,,,,
American Heritage School American Fork,American Fork,97.8,2.2,0.0,0.0,0.0
Aspen School,Orem,92.0,6.0,0.0,2.0,0.0
Barratt School,American Fork,89.9,5.8,0.0,4.3,0.0
Bonneville School,Orem,85.7,8.6,5.7,0.0,0.0
Cascade School,Orem,88.0,6.0,3.0,2.0,1.0
Cedar Ridge School,Cedar Hills,91.4,6.2,0.0,2.5,0.0
Central School,Pleasant Grove,90.3,8.1,1.6,0.0,0.0
Alpine School,Alpine,85.7,10.2,0.0,2.0,2.0
Eaglecrest School,Lehi,85.9,11.8,0.0,2.4,0.0
Forbes School,American Fork,86.7,6.0,7.2,0.0,0.0
,,,,,,
Manila School,Pleasant Grove,91.5,8.5,0.0,0.0,0.0
Rocky Mountain School,Lindon,96.7,1.6,1.6,0.0,0.0
Greenwood School,American Fork,90.7,6.5,0.0,0.9,1.9
Grovecrest School,Pleasant Grove,93.0,3.5,1.2,2.3,0.0
Orchard School,Orem,64.4,30.5,0.0,5.1,0.0
Meadow School,Lehi,87.5,12.5,0.0,0.0,0.0
Sego Lily School,Lehi,91.1,5.1,0.0,2.5,1.3
Northridge School,Orem,88.0,12.0,0.0,0.0,0.0
Lindon School,Lindon,92.1,4.8,0.0,3.2,0.0
Highland School,Highland,78.4,21.6,0.0,0.0,0.0
,,,,,,
Shelley School,American Fork,91.3,6.5,0.0,1.1,1.1
Orem School,Orem,86.0,4.7,0.0,5.8,3.5
Legacy School,American Fork,91.8,8.2,0.0,0.0,0.0
Lehi School,Lehi,90.0,6.2,3.8,0.0,0.0
Vineyard School,Vineyard,81.2,10.4,6.2,2.1,0.0
Westmore School,Orem,83.9,6.5,0.0,4.8,4.8
Windsor School,Orem,96.8,1.6,0.0,0.0,1.6
Belknap School,Beaver,98.2,1.8,0.0,0.0,0.0
Milford School,Milford,96.6,3.4,0.0,0.0,0.0
Century School,Bear River City,78.1,13.7,0.0,8.2,0.0
,,,,,,
Windridge School,Kaysville,96.2,1.9,0.0,1.9,0.0
Sunset School,Sunset,90.0,6.0,0.0,2.0,2.0
Syracuse School,Syracuse,92.3,1.9,0.0,1.9,3.8
Reading School,Centerville,78.0,7.3,0.0,0.0,14.6
Silver Mesa School,Sandy,88.2,9.2,0.0,2.6,0.0
Westridge School,Provo,87.8,4.9,7.3,0.0,0.0
Howard R Driggs School,Salt Lake City,89.5,5.3,1.3,2.6,1.3
John C Fremont School,Taylorsville,89.7,1.7,8.6,0.0,0.0
James E Moss School,Salt Lake City,83.9,2.2,0.0,12.9,0.0
Lake Ridge School,Magna,89.7,2.6,0.0,7.7,0.0
,,,,,,
Jackling School,West Valley City,87.1,1.6,1.6,8.1,1.6
Lincoln School,Salt Lake City,98.5,0.0,0.0,0.0,1.5
Altara School,Sandy,88.4,11.6,0.0,0.0,0.0
Magna School,Magna,81.9,2.8,8.3,4.2,2.8
Waterford School,Sandy,88.2,3.9,0.0,7.8,0.0
Sandy School,Sandy,86.4,4.9,0.0,8.6,0.0
Rosamond School,Riverton,91.8,4.9,0.0,3.3,0.0
Sunrise School,Sandy,90.5,6.8,0.0,1.4,0.0
Art City School,Springville,86.0,12.3,1.8,0.0,0.0
Barnett School,Payson,85.3,13.2,0.0,0.0,1.5
,,,,,,
Westvale School,West Jordan,90.3,4.8,1.6,3.2,0.0
Blanding School,Blanding,86.2,8.6,0.0,5.2,0.0
Westland School,West Jordan,90.5,6.3,1.6,1.6,0.0
Willow Canyon School,Sandy,91.7,6.2,0.0,2.1,0.0
Fairview School,Fairview,70.0,26.7,3.3,0.0,0.0
Discovery School,Brigham City,92.3,3.8,0.0,3.8,0.0
Fielding School,Fielding,91.1,7.8,0.0,1.1,0.0
Garland School,Garland,78.7,20.2,0.0,1.1,0.0
Lincoln School,Hyrum,86.4,7.6,0.0,0.0,6.1
Millville School,Millville,85.5,10.1,0.0,0.0,4.3
,,,,,,
North Park School,North Logan,83.3,11.1,0.0,0.0,5.6
White Pine School,Richmond,87.5,8.3,0.0,0.0,4.2
Lake View School,Brigham City,91.7,6.2,0.0,0.0,2.1
Mckinley School,Tremonton,88.8,10.1,0.0,1.1,0.0
Providence School,Providence,89.0,8.5,0.0,0.0,2.4
River Heights School,Logan,90.7,8.0,0.0,0.0,1.3
North Park School,Tremonton,86.9,9.3,0.0,3.7,0.0
Summit School,Smithfield,95.0,4.0,0.0,1.0,0.0
Lewiston School,Lewiston,92.7,5.5,0.0,0.0,1.8
Sunrise School,Smithfield,86.8,9.2,0.0,1.3,2.6
,,,,,,
Wellsville School,Wellsville,98.0,2.0,0.0,0.0,0.0
Willard School,Willard,90.8,9.2,0.0,0.0,0.0
Castle Heights School,Price,83.9,16.1,0.0,0.0,0.0
Castle Valley Center,Price,76.5,0.0,23.5,0.0,0.0
Creekview School,Price,84.7,5.1,10.2,0.0,0.0
Sally Mauro School,Helper,100.0,0.0,0.0,0.0,0.0
Wellington School,Wellington,94.4,5.6,0.0,0.0,0.0
Hill Field School,Clearfield,91.1,7.6,1.3,0.0,0.0
Clinton School,Clinton,93.3,1.7,0.0,1.7,3.3
Cook School,Syracuse,85.0,10.0,0.0,3.8,1.2
,,,,,,
Holt School,Clearfield,84.5,1.7,0.0,3.4,10.3
Taylor School,Centerville,90.7,7.0,0.0,0.0,2.3
Crestview School,Layton,78.8,12.1,0.0,3.0,6.1
Doxey School,Sunset,89.6,2.1,2.1,2.1,4.2
Knowlton School,Farmington,83.3,13.0,1.9,1.9,0.0
Kaysville School,Kaysville,90.7,7.4,0.0,0.0,1.9
East Layton School,East Layton,90.7,7.0,0.0,0.0,2.3
King School,Layton,84.6,10.8,0.0,1.5,1.5
Columbia School,Kaysville,90.5,7.9,0.0,0.0,1.6
Farmington School,Farmington,89.8,10.2,0.0,0.0,0.0
,,,,,,
Morgan School,Kaysville,86.3,12.3,0.0,0.0,1.4
Muir School,Bountiful,93.8,4.6,0.0,0.0,1.5
Holbrook School,Bountiful,92.9,7.1,0.0,0.0,0.0
Valley View School,Bountiful,94.1,5.9,0.0,0.0,0.0
Lincoln School,Layton,82.4,2.9,0.0,2.9,11.8
Layton School,Layton,87.0,5.8,0.0,2.9,4.3
Adelaide School,Bountiful,90.4,7.7,0.0,0.0,1.9
Antelope School,Clearfield,84.5,8.3,0.0,4.8,2.4
Boulton School,Bountiful,84.7,13.6,0.0,0.0,1.7
Bountiful School,Bountiful,86.7,6.7,0.0,4.0,2.7
,,,,,,
Meadowbrook School,Bountiful,75.6,4.4,0.0,0.0,20.0
Oak Hills School,Bountiful,89.1,7.3,0.0,1.8,1.8
H C Burton School,Kaysville,95.3,4.7,0.0,0.0,0.0
Centerville School,Centerville,86.3,11.8,0.0,0.0,2.0
Orchard School,North Salt Lake,89.6,4.5,0.0,3.0,3.0
Woods Cross School,Woods Cross,85.7,3.2,1.6,7.9,0.0
Tolman School,Bountiful,94.6,5.4,0.0,0.0,0.0
Wasatch School,Clearfield,88.5,0.0,1.9,0.0,9.6
Mountain View School,Layton,89.5,9.2,1.3,0.0,0.0
South Clearfield School,Clearfield,90.6,2.4,0.0,4.7,2.4
,,,,,,
West Bountiful School,West Bountiful,89.9,10.1,0.0,0.0,0.0
Saint Olaf Catholic School,Bountiful,88.9,5.6,0.0,0.0,5.6
South Weber School,South Weber,89.3,9.7,0.0,1.0,0.0
Stewart School,Centerville,75.9,16.7,1.9,0.0,5.6
West Clinton School,Clinton,91.4,1.7,1.7,1.7,3.4
West Point School,West Point,88.2,8.8,0.0,1.5,1.5
Whitesides School,Layton,89.8,8.5,0.0,1.7,0.0
Vae View School,Layton,82.8,6.9,0.0,1.7,8.6
Altamont School,Altamont,82.6,15.2,0.0,0.0,2.2
Duchesne School,Duchesne,85.4,14.6,0.0,0.0,0.0
,,,,,,
East School,Roosevelt,82.1,10.7,7.1,0.0,0.0
Myton School,Myton,85.2,3.7,11.1,0.0,0.0
Neola School,Neola,85.7,14.3,0.0,0.0,0.0
Tabiona School,Tabiona,64.7,17.6,0.0,17.6,0.0
Crestview School,Salt Lake City,90.6,4.7,0.0,4.7,0.0
Valley Academy,Hurricane,63.0,21.0,16.0,0.0,0.0
David Gourley School,Kearns,84.4,1.6,0.0,14.1,0.0
Adams School,Layton,92.0,6.8,0.0,0.0,1.1
Mana Academy Charter School,West Valley City,88.5,3.8,0.0,0.0,7.7
Mountain View Montessori,Washington,58.3,39.6,0.0,2.1,0.0
,,,,,,
Blackridge School,Herriman,88.6,11.4,0.0,0.0,0.0
Dry Creek School,Lehi,94.8,0.0,0.0,2.6,2.6
Black Ridge School,Eagle Mountain,80.6,19.4,0.0,0.0,0.0
Renaissance Academy,Kaysville,84.9,14.0,0.0,1.2,0.0
Odyssey School,Woods Cross,95.2,3.2,0.0,0.0,1.6
Kings Peak School,Roosevelt,81.1,18.9,0.0,0.0,0.0
Highmark Charter School,South Weber,83.3,16.7,0.0,0.0,0.0
Wasatch School,Ogden,81.8,9.1,0.0,3.0,6.1
Lincoln School,Ogden,89.1,3.6,0.0,1.8,5.5
Crimson View School,St George,68.7,31.3,0.0,0.0,0.0
,,,,,,
Neil Armstrong Academy,West Valley City,91.1,6.3,0.0,2.5,0.0
Leadership Learning Academy,Layton,95.7,4.3,0.0,0.0,0.0
Jefferson Academy,Kaysville,85.9,14.1,0.0,0.0,0.0
Mountain West Montessori Academy,South Jordan,78.8,21.2,0.0,0.0,0.0
Tse'bii'nidzisgai School,Monument Valley,92.6,7.4,0.0,0.0,0.0
Ogden Preparatory Academy,Ogden,96.2,2.9,1.0,0.0,0.0
Pacific Heritage Academy,Salt Lake City,87.9,3.0,3.0,6.1,0.0
Cherry Hill School,Orem,86.9,3.3,0.0,6.6,3.3
Eagle Valley School,Eagle Mountain,83.5,16.5,0.0,0.0,0.0
Harvest School,Saratoga Springs,85.6,10.4,0.0,0.0,3.2
,,,,,,
Ascent Academies Of Utah West Jordan,West Jordan,94.7,4.0,0.0,1.3,0.0
Greenville School,North Logan,93.3,3.3,0.0,0.0,3.3
Ridgecrest School,Cottonwood Heights,92.9,2.9,2.9,1.4,0.0
Carmen B Pingree Autism Center Of Learning,Salt Lake City,100.0,0.0,0.0,0.0,0.0
Early Light Academy At Daybreak,South Jordan,90.2,9.8,0.0,0.0,0.0
Excelsior Academy,Erda,91.9,8.1,0.0,0.0,0.0
George Washington Academy,St George,85.4,14.6,0.0,0.0,0.0
Fox Hills School,Salt Lake City,91.0,3.8,1.3,3.8,0.0
Taylorsville School,Salt Lake City,84.8,0.0,0.0,15.2,0.0
Daybreak School,South Jordan,83.6,6.6,0.0,9.8,0.0
,,,,,,
Eastlake School,South Jordan,95.8,2.1,0.0,1.0,0.0
Mountain Shadows School,West Jordan,85.0,1.2,8.8,3.8,1.2
Oakcrest School,West Jordan,90.9,5.2,0.0,3.9,0.0
Welby School,South Jordan,89.0,6.8,0.0,4.1,0.0
Monticello Academy Highbury Capmpus,West Valley City,90.1,7.4,0.0,2.5,0.0
Mt Pleasant School,Mt Pleasant,77.8,20.4,0.0,1.9,0.0
Parleys Park School,Park City,94.1,5.9,0.0,0.0,0.0
Thomas Edison South,Nibley,88.2,11.8,0.0,0.0,0.0
Lapoint School,La Point,81.0,14.3,0.0,4.8,0.0
Venture Academy,Marriott-Slaterville City,78.3,21.7,0.0,0.0,0.0
,,,,,,
Bloomington Hills School,St George,85.1,12.8,0.0,2.1,0.0
Bloomington School,St George,81.0,19.0,0.0,0.0,0.0
Diamond Valley School,St George,70.5,29.5,0.0,0.0,0.0
Paradise Canyon Elementary,St George,84.3,7.1,8.6,0.0,0.0
Little Valley School,St George,83.9,16.1,0.0,0.0,0.0
Panorama School,St George,75.8,16.7,0.0,7.6,0.0
Sandstone School,St George,81.2,13.0,0.0,5.8,0.0
Country View School,West Haven City,95.3,4.7,0.0,0.0,0.0
Plain City School,Plain City,98.9,1.1,0.0,0.0,0.0
Bonneville School,Ogden,88.9,2.5,0.0,8.6,0.0
,,,,,,
Heritage School,Ogden,94.8,2.6,0.0,1.3,1.3
Odyssey School,Ogden,80.3,1.6,0.0,8.2,9.8
Legacy School,St George,87.7,10.4,0.9,0.9,0.0
Heritage School,Nibley,90.8,9.2,0.0,0.0,0.0
Mcpolin School,Park City,86.2,10.3,0.0,3.4,0.0
Belmont School,Lehi,83.7,13.0,0.0,2.2,1.1
Brookhaven School,Eagle Mountain,90.8,4.9,1.1,0.0,3.2
Liberty Hills Elementary,Lehi,83.0,11.9,5.2,0.0,0.0
Bonneville Academy,Stansbury Park,71.0,9.7,0.0,0.0,19.4
Cedar Ridge School,Hyde Park,92.0,8.0,0.0,0.0,0.0
,,,,,,
Midvale School,Midvale,83.2,1.1,8.4,5.3,2.1
Bastian Elementary,Herriman,91.2,3.9,1.0,3.9,0.0
Golden Fields School,South Jordan,82.8,13.1,0.0,4.0,0.0
Mountain Point Elementary,Bluffdale,87.7,10.7,0.8,0.8,0.0
Ridge View Elementary,Herriman,84.8,7.9,0.0,7.3,0.0
Apple Valley School,Santaquin,90.4,9.6,0.0,0.0,0.0
The Center For Creativity Innovation And Discovery,Providence,88.0,12.0,0.0,0.0,0.0
Majestic Fields School,Washington,74.0,25.0,0.0,1.0,0.0
Hidden Hollow School,Eagle Mountain,85.6,14.4,0.0,0.0,0.0
Mountain Trails School,Eagle Mountain,83.5,11.0,0.8,4.7,0.0
,,,,,,
American Preparatory Academy Draper #2,Draper,86.9,9.2,0.0,3.8,0.0
Ascent Academies Of Utah Farmington,Farmington,89.7,10.3,0.0,0.0,0.0
Canyon Grove Academy,Pleasant Grove,13.5,13.5,0.0,0.0,72.9
Butler School,Salt Lake City,95.8,4.2,0.0,0.0,0.0
Esperanza School,West Valley City,98.9,1.1,0.0,0.0,0.0
Gateway Preparatory Academy,Enoch,56.5,43.5,0.0,0.0,0.0
Diamond Ridge School,Salt Lake City,95.5,1.5,0.0,3.0,0.0
Promontory School Of Expeditionary Learning,Perry,89.1,10.9,0.0,0.0,0.0
Rock Canyon School,Provo,81.1,17.0,0.0,1.9,0.0
Sunset View School,Provo,88.1,9.0,3.0,0.0,0.0
,,,,,,
Soldier Hollow Charter School,Heber City,69.0,28.6,0.0,0.0,2.4
Stansbury Park School,Stansbury Park,87.3,12.7,0.0,0.0,0.0
Voyage Academy,Clinton,90.7,9.3,0.0,0.0,0.0
Three Falls School,Hurricane,76.5,17.6,0.0,0.0,3.9
Water Canyon School,Hildale,17.2,69.0,0.0,13.8,0.0
Centennial Elementary,Orem,84.2,12.6,2.1,0.0,1.1
Ascent Academies Of Utah West Valley,West Valley City,91.2,1.5,0.0,7.4,0.0
Ignite Entrepreneurship Academy,Lehi,75.6,24.4,0.0,0.0,0.0
Leadership Learning Academy Ogden,Ogden,98.6,1.4,0.0,0.0,0.0
Old Mill School,Stansbury Park,92.1,7.9,0.0,0.0,0.0
,,,,,,
Treeside Charter School,Provo,80.0,20.0,0.0,0.0,0.0
Daniels Canyon School,Heber City,83.6,8.2,0.0,8.2,0.0
Orchard Springs,Pleasant View,95.1,3.3,1.6,0.0,0.0
Silver Ridge Elementary,Farr West,93.8,6.2,0.0,0.0,0.0
Advantage Arts Academy,Herriman,77.3,21.2,0.0,0.0,1.5
Antelope Canyon Elementary,West Jordan,91.3,8.7,0.0,0.0,0.0
Ascent Academies Of Utah Saratoga Springs,Saratoga Springs,87.6,10.7,0.0,1.7,0.0
Aspen Elementary,South Jordan,86.8,8.3,0.8,4.1,0.0
Bridge Elementary School,Roy,90.7,2.7,0.0,0.0,6.7
Carden Memorial School,Salt Lake City,100.0,0.0,0.0,0.0,0.0
,,,,,,
Challenger School (K-8) Salt Lake City,Salt Lake City,90.9,9.1,0.0,0.0,0.0
Challenger School (Pk-8) Lehi,Lehi,88.7,11.3,0.0,0.0,0.0
Challenger School (Pk-8) Sandy,Sand,85.5,5.3,0.0,9.2,0.0
Challenger School Farmington,Farmington,90.3,9.7,0.0,0.0,0.0
Challenger School Holladay,Holladay,80.0,20.0,0.0,0.0,0.0
Desert Canyons Elementary,St.george,86.1,13.9,0.0,0.0,0.0
Freedom Preparatory Academy Washington,St.george,65.8,34.2,0.0,0.0,0.0
Glacier Hills School,Sandy,89.1,5.4,0.0,5.4,0.0
Golden Spike Elementary,Brigham City,87.4,9.2,0.0,3.4,0.0
Harbor Point Elementary,Saratoga Springs,85.1,11.5,0.0,0.0,3.4
,,,,,,
Ivy Hall Academy,Provo,45.2,12.9,0.0,0.0,41.9
Kids Village,Orem,83.9,8.9,3.6,0.0,3.6
Monticello Academy West Point,West Point,83.8,16.2,0.0,0.0,0.0
Mountain Sunrise Academy,Saratoga Springs,58.8,41.2,0.0,0.0,0.0
Oak Leaf Elementary,Herriman,89.7,8.8,1.5,0.0,0.0
Parkside Elementary,Orem,93.1,1.1,0.0,4.6,1.1
Prince Of Peace Lutheran School,Taylorsville,94.1,5.9,0.0,0.0,0.0
Silver Lake Elementary,Eagle Mountain,84.5,15.5,0.0,0.0,0.0
South Mesa Elementary,St.george,73.0,24.3,0.0,0.0,2.7
Sunburst School,Layton,90.2,7.3,0.0,1.6,0.8
,,,,,,
Trailside Elementary,Vineyard,86.1,7.9,0.0,6.0,0.0
Twenty Wells Elementary,Grantsville,94.0,6.0,0.0,0.0,0.0
Wallace Stegner Academy West Valley,West Valley,97.4,2.6,0.0,0.0,0.0
American Heritage School Salt Lake City Campus,Salt Lake City,77.8,11.1,0.0,11.1,0.0
Challenger School West Jordan,West Jordan,100.0,0.0,0.0,0.0,0.0
Desert Sky Elementary,Eagle Mountain,89.8,8.5,0.0,1.1,0.6
John Hancock Charter School Eagle Mountain,Eagle Mountain,78.9,18.7,0.0,2.4,0.0
Byu Child & Family Studies Laboratory,Provo,81.1,2.7,0.0,16.2,0.0
Children's Discovery,Salt Lake,81.0,19.0,0.0,0.0,0.0
Island View School,West Point,91.0,7.2,0.0,0.9,0.9
,,,,,,
Utah Peak Academy,Junction,50.0,45.0,2.5,0.0,2.5
Wallace Stegner Academy Kearns,West Valley City,95.9,4.1,0.0,0.0,0.0
Haven Bay,West Haven,89.8,8.5,0.0,1.7,0.0
American Principles Academy,Cedar,54.2,37.5,0.0,8.3,0.0
